id,sentence
brown.40917,"hino was the fourth son of an elderly farmer who lived on the coast , in chiba , and divided his life between the land and the sea , supplementing the marginal livelihood on his small rented farm with seasonal employment on a fishing boat ."
brown.45991,"`` all right '' , he conceded finally , `` if you must know , i dont get along with the landlord ."
brown.39638,"loneliness tore through him like a physical pain whenever he thought of peter robert , nerien , nicholas cop , martin bucer , and even the compromising louis du tillet ."
brown.7121,but there are the cousins and aunts and nephews .
brown.36195,`` we have come to your land with the express intention of understanding and respecting your ideas and your ways .
brown.30535,another anode holder used in the experiments is shown in figure 3 .
brown.24592,"hes got a lot of friends , and he ought to come along and let us know if he wants our help '' ."
brown.46822,`` but what about our landing was lethal to the creatures '' ? ?
brown.19235,experience of this time diffusion ranges from a sense of utter apathy to a feeling of desperate urgency to act immediately .
brown.7674,abstractions and abstractions by everett mcnear are being exhibited by the university gallery of notre dame until nov. 5 .
brown.11600,"the founder of the junior showmanship competition the late leonard brumby , sr. ( for whom the trophy is named after at westminster ) was an outstanding handler and believed a junior should have an opportunity to exhibit in a dog show starting with the junior showmanship division ."
brown.50911,"mouse deer played around the feet of the elephants , or fled when the mighty legs thrashed too close ."
brown.14831,"we have not yet succeeded in establishing recognition of technical specialization comparable to our higher levels of management , but i believe we will trend in this direction but not to exceed vice-president '' ."
brown.1689,"a cheer here for francis lorenz , state treasurer , who will meet with the probate advisory board of the chicago bar association , for suggestions on how to handle the opening of safety deposit boxes after somebody dies ."
brown.52403,"then the young man in the brown sports jacket spoke , and it was no different ."
brown.27206,"the process of cosmopolitanism had begun in earnest about 1912 , but the first war and the depression virtually stalled that process in its tracks ."
brown.45255,finally he went into the bedroom and sat down to take off his shoes .
brown.30342,they evaluate and nominate candidates for appointment and promotion .
brown.52725,"gansevoort said , `` it requires an omniscient eye to select those if any on whom we can now rely ."
brown.50474,he examined the water marks on the iron tires when the animals were finished .
brown.7755,one of the scripts big problems was how to blend pictures and music of the past with live performances by musicians of today .
brown.4716,"perhaps the army will be able to maintain stability , but the vacuum of free institutions creates a great danger ."
brown.46466,is ! !
brown.54591,"late in the afternoon , i was up on seven again ."
brown.15619,"he never used to like any hot cereal , now thats the only kind he wants ."
brown.21090,"the answers derived by these means may determine not only the temporal organization of the dance but also its spatial design , special slips designating the location on the stage where the movement is to be performed ."
brown.42897,the station wagon and the old plymouth headed east toward jarrodsville .
brown.23826,"running across the deck , which was empty now that the livestock had been killed and eaten , they sniffed the laden breezes that came from the shore , each pointing out new and exciting wonders to the other ."
brown.49513,`` hell know when you tell him .
brown.37809,"image intensifier based upon the `` multipactor '' principle , ( d )"
brown.11312,"the study comprised 16 male patients , ranging in age from 27 to 72 ."
brown.41871,"she fell asleep leaning on her hand , hearing the house creaking as though it were a living a private life of its own these two hundred years , hearing the birds rustling in their cages and the occasional whirring of wings as one of them landed on the table and walked across the newspaper to perch in the crook of her arm ."
brown.47206,"her statement was a hope , not a truth in which they could believe ."
brown.45248,he should have stayed here and watched burton .
brown.50002,"`` you might as well wait here while im gone , so you can use my shower if youd like '' ."
brown.6629,southfield schools furnish an old passenger bus ( the heater in which needs repair since some of the children ride a long distance and need the heat ) .
brown.880,"the esplanade eliminates grovers ave. , which on original plans ran through the center of the development ."
brown.55129,"outside the hall , i anxiously looked around for her , then all at once there was a hand on my elbow ."
brown.54555,i looked at the chart for reassurance .
brown.55891,dave shrugged on his sports coat and picked up the car keys .
brown.47589,the guerrilla bivouac remained silent .
brown.51488,if youd get out of your back yard once in a while you might even get her your ownself '' .
brown.8975,the armchair traveler preserves his illusions '' .
