token,RT,brown_bigram_surprisal,length,index
worthy,251.66666666666663,3.906996011734009,6,81
winner,248.66666666666663,5.3162150382995605,6,82
of,182.3333333333333,1.4361976385116575,2,83
the,179.66666666666666,0.5706213116645813,3,84
Booker,232.7,5.932311534881592,6,85
Prize.,162.66666666666666,4.650969982147217,6,86
In,195.0,1.4966586828231812,2,87
the,243.8,0.5470973253250122,3,88
event,252.0,3.595144748687744,5,89
it,184.0,2.38531494140625,2,90
didn't,199.3333333333333,2.66921067237854,6,91
make,277.0,2.6336302757263184,4,92
the,0.0,0.9440719485282898,3,93
"shortlist,",235.5,6.3352131843566895,10,94
but,145.66666666666666,2.814138650894165,3,95
it,203.66666666666663,1.261322021484375,2,96
lived,242.2,4.954569816589356,5,97
to,209.66666666666663,1.4522024393081665,2,98
fight,302.1111111111111,3.0383872985839844,5,99
another,228.5555555555556,3.8294410705566406,7,100
day.,218.4,2.0795679092407227,4,101
On,0.0,2.2135088443756104,2,102
Tuesday,261.55555555555554,2.800697326660156,7,103
"night,",207.77777777777777,1.1029632091522217,6,104
Pullman,143.77777777777777,6.108280181884766,7,105
walked,190.25,4.088664531707764,6,106
away,201.6,1.452871322631836,4,107
with,201.5,1.3794633150100708,4,108
the,271.6666666666667,0.6727896332740784,3,109
Whitbread,335.8,6.3352131843566895,9,110
Prize.,219.0,4.443512916564941,6,111
That,265.75,2.1951191425323486,4,112
prize,327.875,5.146200180053711,5,113
thrives,367.3333333333333,5.798030853271484,7,114
on,227.0,0.6051657199859619,2,115
the,154.33333333333334,0.4352611899375915,3,116
neat,289.44444444444446,5.034991264343262,4,117
concept,228.125,4.31662654876709,7,118
of,172.0,0.2962802052497864,2,119
first,189.3333333333333,3.5870168209075928,5,120
dividing,273.375,5.277024269104004,8,121
books,368.1666666666667,4.094875335693359,5,122
up,230.25,3.1633899211883545,2,123
into,205.4,2.197692632675171,4,124
categories,333.875,3.832135677337648,10,125
-,0.0,4.281550407409668,1,126
novel,249.28571428571428,4.384139537811279,5,127
of,149.33333333333334,1.6327680349349976,2,128
the,191.8,0.5706213116645813,3,129
"year,",277.42857142857144,2.862551689147949,5,130
children's,406.44444444444446,5.344241142272949,10,131
book,300.8,3.888526439666748,4,132
of,217.66666666666663,1.1611764430999756,2,133
the,162.71428571428572,0.5706213116645813,3,134
"year,",169.0,2.862551689147949,5,135
and,0.0,1.4303674697875977,3,136
so,257.0,2.400362730026245,2,137
on,216.11111111111111,1.9743340015411377,2,138
-,182.3333333333333,4.738159656524658,1,139
and,83.0,1.936176896095276,3,140
then,181.0,1.9894301891326904,4,141
breaking,213.125,4.917567729949951,8,142
down,172.0,3.2169857025146484,4,143
the,174.42857142857142,0.7197420001029968,3,144
categories,237.11111111111111,4.874719142913818,10,145
for,174.25,1.8815401792526243,3,146
its,179.33333333333334,2.185215473175049,3,147
overall,242.5,5.025812149047852,7,148
prize.,279.0,4.564775943756104,6,149
That,189.66666666666663,2.1951191425323486,4,150
meant,245.66666666666663,3.345773220062256,5,151
that,248.8,1.1069178581237793,4,152
these,263.125,2.261709690093994,5,153
judges,220.77777777777777,4.717648029327393,6,154
could,258.57142857142856,3.1992006301879883,5,155
give,197.0,2.5373613834381104,4,156
the,140.0,1.0132240056991575,3,157
award,209.11111111111111,3.7552473545074463,5,158
to,207.0,2.332139015197754,2,159
Philip,228.77777777777777,5.248366832733154,6,160
Pullman,254.7142857142857,5.687958240509033,7,161
without,387.6666666666667,3.2069404125213623,7,162
being,220.4,1.735522747039795,5,163
accused,261.57142857142856,3.444569826126098,7,164
of,215.0,0.2610833346843719,2,165
dumbing,239.0,6.3301544189453125,7,166
down,272.6666666666667,3.0177788734436035,4,167
to,204.0,0.9453610181808472,2,168
the,248.42857142857144,0.8707906603813171,3,169
level,354.85714285714283,3.252626419067383,5,170
of,217.75,0.4909487962722778,2,171
a,158.66666666666666,1.3818944692611694,1,172
children's,378.25,5.264733791351318,10,173
book.,195.7142857142857,3.888526439666748,5,174
"Peculiarly,",419.125,5.765741348266602,11,175
this,197.0,2.9359912872314453,4,176
still,259.0,3.841044425964356,5,177
seems,305.875,3.370410203933716,5,178
to,185.66666666666663,0.2948457300662994,2,179
be,235.66666666666663,1.182197093963623,2,180
a,145.0,1.2896203994750977,1,181
very,284.125,2.2151710987091064,4,182
real,323.25,2.150115489959717,4,183
fear.,340.375,4.139801025390625,5,184
Although,327.3,2.676063299179077,8,185
we,101.0,1.6226439476013184,2,186
are,253.66666666666663,1.0943523645401,3,187
currently,227.625,3.66222882270813,9,188
seeing,225.3333333333333,4.267247676849365,6,189
such,299.0,2.483860969543457,4,190
an,145.0,1.341724872589111,2,191
unexpected,370.7142857142857,3.01503849029541,10,192
outpouring,276.75,5.612527370452881,10,193
of,200.5,0.5928966999053955,2,194
energy,317.0,3.6916191577911377,6,195
in,204.66666666666663,2.244788408279419,2,196
literature,246.25,3.2480626106262207,10,197
for,285.4,2.3487296104431152,3,198
"children,",274.3333333333333,3.063753843307495,9,199
many,378.2,3.901583194732666,4,200
commentators,347.9,5.72971773147583,12,201
are,208.5,2.5769121646881104,3,202
still,197.66666666666663,2.191691398620605,5,203
afraid,263.3,4.596537590026856,6,204
to,226.0,0.6843081712722778,2,205
admit,233.0,3.16942834854126,5,206
that,192.66666666666663,0.5009975433349609,4,207
these,191.5555555555556,2.261709690093994,5,208
books,205.875,4.225200653076172,5,209
can,220.5,2.5144054889678955,3,210
stand,258.125,3.265432357788086,5,211
alongside,193.8,4.875921726226807,9,212
other,224.75,3.559701919555664,5,213
literature.,293.3333333333333,3.683329343795776,11,214
Novelists,262.22222222222223,5.985518455505371,9,215
such,212.16666666666663,3.19981050491333,4,216
as,152.25,0.8134760856628418,2,217
Philip,251.6,5.147692680358887,6,218
Hensher,353.1111111111111,5.8380231857299805,7,219
and,357.0,1.6883405447006226,3,220
Howard,335.22222222222223,4.345450878143311,6,221
Jacobson,300.1111111111111,5.791022300720215,8,222
have,172.0,2.753089427947998,4,223
mocked,208.2,5.874051570892334,6,224
the,169.5,2.13310980796814,3,225
adults,336.42857142857144,4.681246280670166,6,226
who,216.0,1.9453322887420648,3,227
eagerly,434.0,5.205549240112305,7,228
turn,200.0,3.9773919582366943,4,229
the,160.25,1.3223239183425903,3,230
pages,205.75,4.681246280670166,5,231
of,190.5,0.726131021976471,2,232
the,158.0,0.5706213116645813,3,233
Harry,256.3333333333333,5.120655536651611,5,234
Potter,139.25,5.44508695602417,6,235
"books,",250.625,4.082784652709961,6,236
"or,",238.0,2.683001756668091,3,237
even,277.0,1.734161138534546,4,238
"worse,",344.2,3.642642736434937,6,239
queue,138.5,6.070766925811768,5,240
up,247.0,2.7892987728118896,2,241
to,147.0,0.9451245665550232,2,242
see,207.6,2.002071619033813,3,243
the,266.75,0.8224313259124756,3,244
film,239.66666666666663,3.442594051361084,4,245
without,225.25,3.375685691833496,7,246
the,186.8,1.0904293060302734,3,247
excuse,208.75,4.509370803833008,6,248
of,240.3333333333333,1.7944525480270386,2,249
a,213.5,1.3818944692611694,1,250
seven-year-old,455.6,6.192562103271484,14,251
child,249.625,3.805707931518554,5,252
by,160.5,2.199528932571411,2,253
their,138.0,2.100595235824585,5,254
side.,225.66666666666663,3.8407599925994873,5,255
And,171.6,1.6630104780197144,3,256
when,188.5,2.3724365234375,4,257
Peter,256.57142857142856,3.405734062194824,5,258
Jackson's,317.77777777777777,5.440927982330322,9,259
film,194.0,4.03601598739624,4,260
of,197.3333333333333,1.6142864227294922,2,261
The,190.0,0.5706213116645813,3,262
Lord,205.28571428571428,3.3468117713928223,4,263
of,147.0,1.6137707233428955,2,264
the,174.25,0.5706213116645813,3,265
Rings,233.5,5.220182418823242,5,266
was,219.8,1.3506591320037842,3,267
"released,",309.1428571428572,3.768865346908569,9,268
sceptical,312.3,5.457568168640137,9,269
critics,230.66666666666663,4.403396129608154,7,270
such,211.16666666666663,3.3304762840271,4,271
as,185.6,0.8134760856628418,2,272
Mark,185.8,4.610746383666992,4,273
"Lawson,",267.8888888888889,5.920826435089111,7,274
Thomas,245.8571428571429,3.9768319129943848,6,275
Sutcliffe,248.8,5.860945701599121,9,276
and,204.0,1.6883405447006226,3,277
David,243.5,3.85641360282898,5,278
Sexton,185.0,5.500776290893555,6,279
poured,190.0,4.488181114196777,6,280
scorn,248.4,5.35537052154541,5,281
on,195.5,2.337898731231689,2,282
people,246.7142857142857,3.9847023487091056,6,283
who,165.0,1.1435949802398682,3,284
took,223.42857142857144,2.8991012573242188,4,285
their,263.2,2.05473256111145,5,286
childish,221.77777777777777,4.986146450042725,8,287
delights,303.5,5.349371433258057,8,288
into,205.0,2.904020309448242,4,289
adulthood.,302.4,5.996091842651367,10,290
They,177.5,1.8077789545059204,4,291
seem,220.875,2.730157852172852,4,292
to,165.0,0.3050980269908905,2,293
believe,147.42857142857142,2.8256847858428955,7,294
that,0.0,0.4760438203811645,4,295
people,208.125,3.0301876068115234,6,296
who,0.0,1.1435949802398682,3,297
sink,271.77777777777777,5.253564357757568,4,298
into,178.0,1.397818922996521,4,299
tales,231.28571428571428,5.094113826751709,5,300
that,234.0,2.55426025390625,4,301
shrug,271.5,6.048178195953369,5,302
off,162.0,3.359853982925415,3,303
the,286.5,0.6953371167182922,3,304
adult,223.7142857142857,4.362420082092285,5,305
world,166.57142857142858,1.998945355415344,5,306
are,180.8571428571429,2.100893259048462,3,307
"absurd,",181.8571428571429,5.02964448928833,7,308
or,229.0,2.5884246826171875,2,309
even,246.42857142857144,1.734161138534546,4,310
a,129.5,1.3744202852249146,1,311
bit,208.4,2.624910354614258,3,312
dangerous.,264.8,4.5683112144470215,10,313
In,99.0,1.4966586828231812,2,314
one,134.8,2.286623954772949,3,315
critic's,228.8,4.883031845092773,8,316
"words,",183.28571428571428,3.915459871292114,6,317
we,290.0,3.61079740524292,2,318
are,228.66666666666663,1.0943523645401,3,319
proof,237.0,4.72097110748291,5,320
of,229.0,0.6404197812080383,2,321
'the,186.75,0.5706213116645813,4,322
infantilisation,744.1428571428571,6.3352131843566895,15,323
of,262.5,1.810352563858032,2,324
adult,297.1111111111111,4.871986389160156,5,325
culture'.,280.3333333333333,4.187834739685059,9,326
But,148.0,1.6021519899368286,3,327
these,283.8888888888889,2.4079513549804688,5,328
critics,239.6,3.745949029922485,7,329
who,246.8,3.112224817276001,3,330
are,336.0,1.3002885580062866,3,331
proud,370.8888888888889,4.128093719482422,5,332
to,211.3333333333333,0.8088245391845703,2,333
be,288.0,1.182197093963623,2,334
too,292.125,2.4678444862365723,3,335
sophisticated,363.5,5.113741397857666,13,336
to,140.4,2.11007022857666,2,337
enjoy,195.2,3.2486369609832764,5,338
a,123.0,1.211449384689331,1,339
book,188.8571428571429,2.922847986221313,4,340
where,282.57142857142856,3.515120506286621,5,341
a,187.3333333333333,1.5424511432647705,1,342
bear,288.75,3.887395143508911,4,343
talks,332.625,4.713115215301514,5,344
or,211.4,2.5977604389190674,2,345
a,212.5,1.4157263040542605,1,346
dragon,229.77777777777777,4.942863941192627,6,347
flies,309.25,4.733198642730713,5,348
might,408.6666666666667,3.3700506687164307,5,349
be,186.3333333333333,0.6132787466049194,2,350
missing,224.0,4.905501842498779,7,351
out.,176.5,2.9928877353668213,4,352
They,207.0,1.8077789545059204,4,353
needn't,329.44444444444446,6.31227445602417,7,354
be,210.0,3.124072790145874,2,355
afraid,236.22222222222223,2.980143785476685,6,356
that,182.0,2.704890251159668,4,357
they,221.0,1.597183108329773,4,358
will,214.1428571428572,1.758028507232666,4,359
lose,270.25,3.146998882293701,4,360
their,202.1428571428572,1.555630803108215,5,361
critical,198.8,3.884157657623291,8,362
edge,245.125,4.366725921630859,4,363
if,153.75,3.760666847229004,2,364
they,232.0,1.2815924882888794,4,365
let,195.0,2.987659454345703,3,366
down,228.3333333333333,2.162369966506958,4,367
their,226.7142857142857,3.2832369804382324,5,368
guard,181.11111111111111,3.921878576278688,5,369
against,235.5,1.1342085599899292,7,370
childish,207.5555555555556,5.253316879272461,8,371
things,222.3333333333333,3.5619585514068604,6,372
for,182.2,1.8305840492248533,3,373
an,150.5,1.912856101989746,2,374
instant.,284.3333333333333,2.380281448364258,8,375
Do,178.8,2.962796211242676,2,376
we,172.2,1.861766695976257,2,377
still,240.42857142857144,2.658066749572754,5,378
have,232.3333333333333,1.8078594207763672,4,379
to,179.33333333333334,1.1436153650283811,2,380
spell,153.5,4.415292263031006,5,381
it,267.6666666666667,2.825457811355591,2,382
out?,176.83333333333334,2.286442995071411,4,383
It,320.6666666666667,1.4451422691345217,2,384
really,227.3,2.999150276184082,6,385
is,212.5,2.021117687225342,2,386
possible,250.5,2.38134765625,8,387
to,359.0,0.727746844291687,2,388
like,325.5,3.3429219722747803,4,389
Rowling,287.22222222222223,6.186966896057129,7,390
and,371.0,1.6883405447006226,3,391
"Roth,",410.1,6.180140495300293,5,392
to,146.0,1.923084735870361,2,393
enjoy,277.77777777777777,3.2486369609832764,5,394
Pullman,222.42857142857144,5.72800874710083,7,395
as,184.66666666666663,2.376854658126831,2,396
well,252.0,1.3749172687530518,4,397
as,147.5,0.6020199060440063,2,398
Proust.,409.0,6.18512487411499,7,399
What,304.0,2.256042003631592,4,400
is,198.6,1.0633299350738523,2,401
endearing,392.8,5.948355197906494,9,402
about,210.375,2.913668155670166,5,403
the,246.8,0.7358765006065369,3,404
new,266.2857142857143,2.238601922988892,3,405
breed,326.8888888888889,3.787942409515381,5,406
of,426.0,0.7967276573181152,2,407
children's,254.0,4.544248580932617,10,408
writers,287.6,4.065867900848389,7,409
is,226.5,2.534024238586426,2,410
that,240.5,1.6149758100509644,4,411
they,191.1428571428572,1.597183108329773,4,412
are,223.0,1.0131384134292605,3,413
firing,219.3,4.909525394439697,6,414
a,229.0,1.8918081521987915,1,415
new,254.4,1.9192928075790403,3,416
bolt,245.375,5.169249057769775,4,417
of,129.75,1.4428791999816897,2,418
energy,226.25,3.6916191577911377,6,419
into,205.0,2.486169815063477,4,420
literature.,211.77777777777777,3.773634672164917,11,421
Na�ve?,317.1428571428572,6.639578819274902,6,422
"Yes,",208.5,3.217529296875,4,423
they,240.0,3.9813952445983887,4,424
may,214.66666666666663,1.9087700843811035,3,425
be,239.5,0.4850961565971374,2,426
na�ve.,203.0,6.169593811035156,6,427
But,172.25,1.6021519899368286,3,428
what,285.1428571428572,2.026510238647461,4,429
they,283.57142857142856,1.341212034225464,4,430
don't,199.125,2.4918251037597656,5,431
suffer,217.0,4.912402629852295,6,432
from,213.66666666666663,0.955338418483734,4,433
is,224.8,2.7773351669311523,2,434
the,172.83333333333334,1.0949891805648804,3,435
deadening,299.3333333333333,6.3352131843566895,9,436
claustrophobia,281.6,5.480945110321045,14,437
of,201.3333333333333,1.931615710258484,2,438
so,271.5,3.247882127761841,2,439
much,197.5,1.277440071105957,4,440
acclaimed,311.8,5.791506290435791,9,441
literature,208.9,3.960366725921631,10,442
for,119.33333333333331,2.3487296104431152,3,443
grown-ups.,422.3333333333333,6.2733306884765625,10,444
Readers,359.44444444444446,4.660017013549805,7,445
who,202.8571428571429,1.656538009643555,3,446
fell,143.2,3.3586435317993164,4,447
on,245.0,1.284656047821045,2,448
hyped,367.2857142857143,6.410998344421387,5,449
novels,240.8571428571429,4.416452407836914,6,450
such,188.0,3.35943341255188,4,451
as,229.4,0.8134760856628418,2,452
Jonathan,251.88888888888889,5.788800239562988,8,453
Franzen's,256.6,5.801912784576416,9,454
The,182.3333333333333,2.011846780776977,3,455
Corrections,319.4,6.049694061279297,11,456
or,204.66666666666663,2.430173635482788,2,457
Margaret,328.9,5.052932262420654,8,458
Atwood's,205.28571428571428,5.801912784576416,8,459
The,197.5,2.011846780776977,3,460
Blind,368.2,3.720238924026489,5,461
"Assassin,",395.0,5.1949639320373535,9,462
only,226.5,3.204850673675537,4,463
to,297.42857142857144,1.344277262687683,2,464
find,193.4,2.283087015151977,4,465
them,256.0,1.6142446994781494,4,466
imaginatively,517.5555555555555,3.8634166717529297,13,467
"underpowered,",584.6,5.752273082733154,13,468
will,231.6,2.6670854091644287,4,469
know,396.6666666666667,2.4664039611816406,4,470
what,369.5,1.023692607879639,4,471
I,269.0,1.399910569190979,1,472
mean,204.6,2.185971975326538,4,473
when,202.7142857142857,2.710035800933838,4,474
I,192.25,1.2243496179580688,1,475
say,210.2,2.440624713897705,3,476
that,172.83333333333334,0.7473176717758179,4,477
even,216.0,2.798622131347656,4,478
the,181.75,1.109506607055664,3,479
biggest,225.9,3.67333459854126,7,480
novels,179.375,4.547599792480469,6,481
today,247.375,3.689723014831543,5,482
can,249.5,2.445240259170532,3,483
seem,396.5,3.7106330394744873,4,484
much,168.55555555555554,3.828410863876343,4,485
smaller,234.0,2.0918147563934326,7,486
than,170.4,0.908042848110199,4,487
life.,228.66666666666663,3.5428762435913086,5,488
"Still,",237.125,3.065501928329468,6,489
perhaps,340.1111111111111,3.431220293045044,7,490
those,240.8333333333333,3.86894416809082,5,491
novels,242.3333333333333,4.836047649383545,6,492
honestly,336.2,5.072926998138428,8,493
reflect,241.0,4.733198642730713,7,494
the,181.5,0.3308802247047424,3,495
problematic,468.0,6.049694061279297,11,496
aspects,235.28571428571428,4.18428897857666,7,497
of,107.0,0.1458541750907898,2,498
our,325.0,2.1545755863189697,3,499
current,229.57142857142856,2.6784863471984863,7,500
"condition,",355.75,4.026495456695557,10,501
whereas,193.8333333333333,5.16084098815918,7,502
the,266.0,0.6230167746543884,3,503
children's,257.3333333333333,3.771377325057984,10,504
writers,230.7,4.065867900848389,7,505
have,219.66666666666663,1.14668071269989,4,506
the,200.75,1.3802387714385986,3,507
liberty,213.3333333333333,4.113368988037109,7,508
of,199.75,1.588566541671753,2,509
escapism.,336.55555555555554,6.3301544189453125,9,510
That,235.66666666666663,2.1951191425323486,4,511
may,210.0,2.6707706451416016,3,512
be,215.2,0.4850961565971374,2,513
true.,236.3333333333333,2.73012638092041,5,514
But,135.33333333333334,1.6021519899368286,3,515
sometimes,333.0,3.2121036052703857,9,516
it,172.0,1.652281403541565,2,517
is,109.0,0.7738510370254517,2,518
worth,289.7,2.970875263214112,5,519
going,204.5,3.9391446113586426,5,520
on,269.6,1.1119434833526611,2,521
these,229.3333333333333,2.26868748664856,5,522
journeys,255.5,5.411289215087891,8,523
-,0.0,4.079434394836426,1,524
not,172.25,3.254241704940796,3,525
just,199.0,2.3785295486450195,4,526
to,135.5,1.4786921739578247,2,527
"escape,",279.3333333333333,3.099677562713623,7,528
but,216.0,3.25300407409668,3,529
also,284.75,1.777453064918518,4,530
to,364.5,1.5487550497055054,2,531
return.,267.44444444444446,2.937993288040161,7,532
I'm,187.0,2.979870080947876,3,533
sure,250.375,1.3078672885894775,4,534
I'm,281.0,4.622530460357666,3,535
not,267.8888888888889,0.8764444589614868,3,536
alone,247.625,2.9677677154541016,5,537
in,251.0,1.1684587001800537,2,538
saying,260.4,3.645883560180664,6,539
that,250.8571428571429,0.7152464389801025,4,540
after,232.11111111111111,2.865725040435791,5,541
stepping,342.5,5.292331695556641,8,542
into,199.0,2.9339332580566406,4,543
Rowling's,275.8,6.28161096572876,9,544
world,246.44444444444449,3.393429756164551,5,545
or,212.0,2.4955098628997803,2,546
into,217.75,2.992387533187866,4,547
Pullman's,286.77777777777777,6.1315460205078125,9,548
"world,",182.0,3.514692783355713,6,549
both,208.0,3.9154014587402335,4,550
of,189.28571428571428,1.1934257745742798,2,551
which,144.5,2.408446311950684,5,552
thrive,215.16666666666663,6.091580390930176,6,553
on,153.0,2.337898731231689,2,554
the,108.0,0.4352611899375915,3,555
staggeringly,384.3,6.049694061279297,12,556
precise,383.44444444444446,4.488181114196777,7,557
and,197.0,1.3890669345855713,3,558
sensual,400.44444444444446,5.526080131530762,7,559
detailing,237.6,5.752273082733154,9,560
of,0.0,1.810352563858032,2,561
their,235.2,2.014711856842041,5,562
fantasy,167.6,4.894900321960449,7,563
"universes,",477.0,5.820863246917725,10,564
I,0.0,2.9609084129333496,1,565
found,245.66666666666663,2.3183798789978027,5,566
that,215.25,1.1124944686889648,4,567
the,197.4,0.8798593282699585,3,568
everyday,290.8,5.158755779266357,8,569
world,337.0,3.578991174697876,5,570
had,228.2,2.392098903656006,3,571
juddered,372.9,6.336187839508057,8,572
a,273.0,2.274094343185425,1,573
little.,224.22222222222223,1.8850716352462769,7,574
Without,254.0,3.1436989307403564,7,575
doubt,203.625,3.3565592765808105,5,576
they,214.8,3.372632503509521,4,577
do,207.0,1.84303879737854,2,578
lack,267.5,4.828731060028076,4,579
other,232.28571428571428,4.350118160247803,5,580
qualities,266.6666666666667,3.251464366912842,9,581
that,200.5,1.64831805229187,4,582
you,184.375,2.1327950954437256,3,583
look,141.5,2.378753185272217,4,584
for,177.4,1.043351411819458,3,585
in,126.5,2.2575278282165527,2,586
literature,238.77777777777777,3.2480626106262207,10,587
that,186.66666666666663,2.3877270221710205,4,588
isn't,281.875,3.347989320755005,5,589
meant,169.85714285714286,4.319224834442139,5,590
for,177.5,1.5436911582946775,3,591
children.,286.0,3.063753843307495,9,592
But,126.0,1.6021519899368286,3,593
"still,",376.8571428571428,2.3411741256713867,6,594
Rowling,258.1428571428572,5.98231315612793,7,595
and,198.0,1.6883405447006226,3,596
Pullman,200.3333333333333,6.030075550079346,7,597
can,211.0,2.952787637710572,3,598
achieve,225.42857142857144,3.289602756500244,7,599
that,203.6,2.474215269088745,4,600
precious,426.625,4.476874828338623,8,601
effect,236.75,3.828648328781128,6,602
on,387.3333333333333,0.9318012595176696,2,603
the,230.5,0.4352611899375915,3,604
reader,246.0,3.4150209426879883,6,605
of,0.0,1.1699432134628296,2,606
tearing,250.9,5.517985820770264,7,607
away,245.42857142857144,1.5615633726119995,4,608
the,183.0,1.5695775747299194,3,609
veils,247.625,5.932311534881592,5,610
of,147.0,1.931615710258484,2,611
familiarity,310.6,4.903011798858643,11,612
and,227.0,1.569359540939331,3,613
reawakening,297.1,6.180140495300293,11,614
one,200.25,2.8482155799865723,3,615
to,163.0,1.841998815536499,2,616
the,218.75,0.8707906603813171,3,617
oddness,340.7142857142857,6.3352131843566895,7,618
and,207.0,1.6883405447006226,3,619
beauty,218.5,3.367669582366944,6,620
of,247.0,0.7749280333518982,2,621
ordinary,333.5,3.9553048610687256,8,622
life.,189.66666666666663,2.433303117752075,5,623
And,188.0,1.6630104780197144,3,624
let's,216.7,4.761785507202148,5,625
not,302.25,1.6633530855178833,3,626
sidestep,305.6,6.202652931213379,8,627
what,220.625,3.1044509410858154,4,628
"is,",233.0,1.0633299350738523,3,629
"perhaps,",208.42857142857144,2.9317965507507324,8,630
the,146.0,0.973056972026825,3,631
most,136.0,2.2198173999786377,4,632
obvious,206.0,2.506652355194092,7,633
point,215.42857142857144,3.839002370834351,5,634
of,139.66666666666666,0.717861533164978,2,635
these,173.0,2.070603847503662,5,636
books',242.88888888888889,4.225200653076172,6,637
appeal.,206.0,4.524380683898926,7,638
As,183.0,2.0073466300964355,2,639
with,318.25,2.506937026977539,4,640
J,0.0,5.602168560028076,1,641
K,156.0,4.780077934265137,1,642
"Rowling,",232.5,5.810079097747803,8,643
Pullman,189.0,5.480945110321045,7,644
fulfils,306.5,5.752273082733154,7,645
an,226.0,2.799952268600464,2,646
often,384.875,3.755629062652588,5,647
unassuaged,796.3333333333334,5.882503509521484,10,648
longing,316.22222222222223,4.6551666259765625,7,649
in,0.0,2.089995145797729,2,650
this,423.1428571428572,1.5936355590820312,4,651
secular,340.0,5.140983581542969,7,652
age,302.6,3.8817989826202393,3,653
-,148.0,4.482856273651123,1,654
he,218.0,2.948923110961914,2,655
describes,245.0,3.769084692001343,9,656
a,162.0,0.9230336546897888,1,657
great,212.75,2.168739557266236,5,658
battle,195.2,4.30936336517334,6,659
between,218.3333333333333,1.7348337173461914,7,660
good,194.2,2.634840965270996,4,661
and,154.0,1.4535870552062988,3,662
"evil,",181.375,4.109506607055664,5,663
a,0.0,2.53014612197876,1,664
battle,220.11111111111111,3.577398538589477,6,665
where,202.25,3.4901626110076904,5,666
everything,306.375,2.9928224086761475,10,667
is,142.0,1.9630287885665887,2,668
at,258.6,2.237776517868042,2,669
"stake,",426.7142857142857,3.068367719650269,6,670
where,343.625,3.425212383270264,5,671
you,194.28571428571428,1.6127114295959473,3,672
have,286.3333333333333,1.431782603263855,4,673
to,276.2,1.1436153650283811,2,674
take,265.1428571428572,2.098497152328491,4,675
sides.,380.8,3.37902569770813,6,676
