word	sentid	sentpos	wlen	surp	entropy	entred
but	3	18	3	8.443102836608887	5.672780513763428	0
the	3	19	3	3.8200604915618896	7.819632053375244	0
reason	3	20	6	8.124800682067871	10.680005073547363	0
for	3	21	3	2.431790828704834	5.6609416007995605	5.019063472747803
this	3	22	4	4.5139923095703125	6.381376266479492	0
symbol	3	23	6	13.148398399353027	8.486303329467773	0
is	3	24	2	2.900242805480957	5.942131996154785	2.5441713333129883
a	3	25	1	3.111835479736328	7.904257774353027	0
matter	3	26	6	7.820093631744385	10.2855806350708	0
of	3	27	2	0.6408275365829468	2.9617738723754883	7.3238067626953125
<unk>	3	28	5	3.490565061569214	10.232280731201172	0
There	4	0	5	8.801481246948242	5.634664058685303	0
was	4	1	3	2.4665045738220215	3.044735908508301	2.589928150177002
<unk>	4	2	5	7.856609344482422	4.676601886749268	0
legend	4	3	6	14.190887451171875	8.180448532104492	0
has	4	4	3	11.027495384216309	5.265344142913818	2.915104389190674
<unk>	4	5	5	8.67547607421875	4.2225236892700195	1.0428204536437988
a	4	6	1	4.7388153076171875	7.565650939941406	0
<unk>	4	7	5	3.11708402633667	10.16344928741455	0
<unk>	4	8	5	3.6642940044403076	8.001176834106445	2.1622724533081055
which	4	9	5	8.547454833984375	6.512035846710205	1.4891409873962402
lived	4	10	5	10.49439811706543	6.5017194747924805	0.01031637191772461
in	4	11	2	1.0368534326553345	4.3707685470581055	2.130950927734375
a	4	12	1	3.5391883850097656	6.723613739013672	0
wood	4	13	4	13.213820457458496	9.904618263244629	0
located	4	14	7	11.046631813049316	8.963123321533203	0.9414949417114258
just	4	15	4	9.44599437713623	4.218538284301758	4.744585037231445
outside	4	16	7	3.9717376232147217	5.772242546081543	0
the	4	17	3	0.7288916707038879	4.11209774017334	1.6601448059082031
manor	4	18	5	14.257292747497559	9.507718086242676	0
of	4	19	2	2.8041422367095947	5.530615329742432	3.977102756500244
<unk>	4	20	5	1.2494388818740845	6.763789653778076	0
A	5	0	1	5.526200771331787	5.634664058685303	0
source	5	1	6	11.191198348999023	9.677552223205566	0
of	5	2	2	0.3288370668888092	2.124023914337158	7.553528308868408
great	5	3	5	10.068989753723145	10.275772094726562	0
trouble	5	4	7	11.697882652282715	9.716753005981445	0.5590190887451172
to	5	5	2	5.016268253326416	6.246793746948242	3.469959259033203
the	5	6	3	2.715761423110962	8.318161964416504	0
local	5	7	5	9.777478218078613	10.5640287399292	0
folk	5	8	4	11.452781677246094	10.043993949890137	0.5200347900390625
the	5	9	3	12.843840599060059	9.256635665893555	0.787358283996582
<unk>	5	10	5	2.1439921855926514	9.620635032653809	0
<unk>	5	11	5	3.5540995597839355	7.610010623931885	2.010624408721924
bringing	5	12	8	15.052695274353027	7.059173107147217	0.550837516784668
terror	5	13	6	17.070377349853516	6.725944519042969	0.33322858810424805
to	5	14	2	3.728347063064575	8.577170372009277	0
the	5	15	3	1.6188770532608032	7.586824893951416	0.9903454780578613
peaceful	5	16	8	17.376785278320312	10.545600891113281	0
flocks	5	17	6	17.43524932861328	10.528358459472656	0.017242431640625
and	5	18	3	5.449543476104736	2.2390105724334717	8.289347887039185
<unk>	5	19	5	3.859457492828369	10.129403114318848	0
the	5	20	3	5.216187477111816	7.621693134307861	2.5077099800109863
countryside	5	21	11	14.245532035827637	10.807541847229004	0
<unk>	5	22	5	7.59041166305542	5.422976970672607	5.3845648765563965
Even	6	0	4	11.750418663024902	5.634664058685303	0
<unk>	6	1	5	6.00754451751709	6.001762390136719	0
<unk>	6	2	5	3.938082456588745	6.611597061157227	0
the	6	3	3	5.194980144500732	6.676793575286865	0
<unk>	6	4	5	2.480260133743286	9.818105697631836	0
most	6	5	4	11.358918190002441	6.9608154296875	2.857290267944336
liked	6	6	5	11.65064525604248	7.92771577835083	0
to	6	7	2	7.143640518188477	5.630481719970703	2.297234058380127
go	6	8	2	8.056746482849121	7.553004741668701	0
to	6	9	2	2.5734031200408936	5.418461799621582	2.134542942047119
the	6	10	3	1.8052849769592285	7.5717692375183105	0
well	6	11	4	11.378837585449219	10.256278991699219	0
that	6	12	4	12.211652755737305	1.0703799724578857	9.185899019241333
was	6	13	3	4.94748592376709	7.364470958709717	0
in	6	14	2	5.437666893005371	8.173443794250488	0
the	6	15	3	1.8865169286727905	7.594464302062988	0.5789794921875
wood	6	16	4	18.339380264282227	9.578986167907715	0
and	6	17	3	4.219398021697998	7.660740375518799	1.918245792388916
drink	6	18	5	13.674105644226074	9.438982963562012	0
its	6	19	3	12.731287956237793	3.7471730709075928	5.691809892654419
fresh	6	20	5	11.470295906066895	10.435221672058105	0
<unk>	6	21	5	3.695707321166992	9.66428279876709	0.7709388732910156
so	6	22	2	10.165164947509766	5.171168327331543	4.493114471435547
that	6	23	4	2.0458133220672607	6.743765830993652	0
the	6	24	3	2.031998634338379	6.043735027313232	0.7000308036804199
people	6	25	6	7.729228973388672	11.0509033203125	0
of	6	26	2	2.470672845840454	6.546767234802246	4.504136085510254
Bradford	6	27	8	14.58342456817627	6.686563014984131	0
had	6	28	3	3.5475831031799316	5.544995307922363	1.1415677070617676
second	6	29	6	13.493020057678223	7.270322799682617	0
thoughts	6	30	8	12.657169342041016	8.713603973388672	0
about	6	31	5	4.550396919250488	4.44190788269043	4.271696090698242
visiting	6	32	8	12.736161231994629	5.114814758300781	0
the	6	33	3	1.419653296470642	6.751255989074707	0
<unk>	6	34	5	3.8649001121520996	10.496665000915527	0
That	7	0	4	10.167810440063477	5.634664058685303	0
the	7	1	3	6.327120780944824	6.860409259796143	0
people	7	2	6	6.851478099822998	10.196203231811523	0
of	7	3	2	3.098001003265381	8.288742065429688	1.907461166381836
Bradford	7	4	8	14.897006034851074	6.010769367218018	2.27797269821167
bore	7	5	4	13.440160751342773	5.907012939453125	0.10375642776489258
the	7	6	3	2.02563738822937	6.242409706115723	0
brunt	7	7	5	13.637022972106934	10.208403587341309	0
of	7	8	2	0.05555567890405655	0.43279802799224854	9.77560555934906
the	7	9	3	0.879831850528717	4.3401594161987305	0
<unk>	7	10	5	4.712119102478027	10.19310188293457	0
<unk>	7	11	5	4.878028392791748	7.589348316192627	2.6037535667419434
was	7	12	3	9.73377799987793	5.932954788208008	1.6563935279846191
unfair	7	13	6	13.646492958068848	8.466217041015625	0
in	7	14	2	4.750836372375488	3.9503931999206543	4.515823841094971
the	7	15	3	1.6377182006835938	6.792601108551025	0
eyes	7	16	4	13.770326614379883	10.00969409942627	0
of	7	17	2	1.2578237056732178	3.65978741645813	6.34990668296814
the	7	18	3	1.3430354595184326	6.408321857452393	0
people	7	19	6	7.900485515594482	10.621475219726562	0
of	7	20	2	2.8931334018707275	4.513451099395752	6.1080241203308105
the	7	21	3	1.4876375198364258	7.333888053894043	0
<unk>	7	22	5	3.2008862495422363	10.114119529724121	0
<unk>	8	0	5	2.6835286617279053	5.634664058685303	0
the	8	1	3	5.576391220092773	6.5133161544799805	0
issue	8	2	5	10.509236335754395	9.380960464477539	0
reached	8	3	7	12.836328506469727	5.382112979888916	3.998847484588623
the	8	4	3	1.2614225149154663	5.580542087554932	0
ears	8	5	4	17.444902420043945	8.954375267028809	0
of	8	6	2	1.5128722190856934	3.9416372776031494	5.012737989425659
the	8	7	3	2.5039894580841064	8.399782180786133	0
kindly	8	8	6	19.823652267456055	9.762927055358887	0
Lord	8	9	4	15.369035720825195	8.870222091674805	0.892704963684082
of	8	10	2	4.253347396850586	5.5200042724609375	3.350217819213867
the	8	11	3	0.5234043598175049	3.423841953277588	2.0961623191833496
Manor	8	12	5	10.343795776367188	8.09960651397705	0
who	8	13	3	8.38117790222168	3.6601762771606445	4.439430236816406
the	8	14	3	6.689719200134277	7.829593658447266	0
people	8	15	6	9.500577926635742	10.234258651733398	0
had	8	16	3	4.697176456451416	7.310617923736572	2.923640727996826
often	8	17	5	10.614908218383789	7.905703067779541	0
asked	8	18	5	13.510746955871582	6.706296920776367	1.1994061470031738
for	8	19	3	3.211371421813965	5.748215675354004	0.9580812454223633
<unk>	8	20	5	5.9582743644714355	6.42908239364624	0
The	9	0	3	3.6612181663513184	5.634664058685303	0
Lord	9	1	4	12.791059494018555	10.153865814208984	0
saw	9	2	3	13.996066093444824	4.2418622970581055	5.912003517150879
the	9	3	3	1.3091284036636353	5.2041144371032715	0
severity	9	4	8	14.375922203063965	10.214814186096191	0
of	9	5	2	0.021517999470233917	0.19461755454540253	10.020196631550789
the	9	6	3	0.8245738744735718	3.8081905841827393	0
problem	9	7	7	8.78605842590332	11.0466890335083	0
the	9	8	3	9.331409454345703	4.6306304931640625	6.416058540344238
people	9	9	6	8.804947853088379	10.562792778015137	0
faced	9	10	5	11.413392066955566	7.100274085998535	3.4625186920166016
and	9	11	3	4.483713150024414	5.562952041625977	1.5373220443725586
suggested	9	12	9	13.475028991699219	9.20074462890625	0
a	9	13	1	4.039273738861084	5.1070237159729	4.09372091293335
contest	9	14	7	12.522223472595215	10.36391830444336	0
could	9	15	5	10.505525588989258	3.273582696914673	7.0903356075286865
solve	9	16	5	12.198800086975098	4.268388748168945	0
the	9	17	3	1.3199609518051147	5.918090343475342	0
<unk>	9	18	5	3.5749456882476807	10.79358959197998	0
He	10	0	2	6.958529949188232	5.634664058685303	0
said	10	1	4	7.431522369384766	6.967998027801514	0
that	10	2	4	1.7570616006851196	4.053982734680176	2.914015293121338
whoever	10	3	7	16.164867401123047	5.211166858673096	0
could	10	4	5	4.259886741638184	6.218677520751953	0
kill	10	5	4	10.228313446044922	6.5417304039001465	0
the	10	6	3	1.4501409530639648	5.52013635635376	1.0215940475463867
<unk>	10	7	5	3.2527050971984863	10.822348594665527	0
and	10	8	3	3.391810417175293	6.680176734924316	4.142171859741211
bring	10	9	5	10.0072660446167	9.192314147949219	0
as	10	10	2	9.729364395141602	5.330843925476074	3.8614702224731445
proof	10	11	5	12.142879486083984	5.8941569328308105	0
its	10	12	3	11.564027786254883	4.47062349319458	1.4235334396362305
head	10	13	4	7.616195201873779	10.819368362426758	0
to	10	14	2	3.768598794937134	6.281832695007324	4.537535667419434
the	10	15	3	1.5951051712036133	7.41109037399292	0
Manor	10	16	5	16.510581970214844	10.637768745422363	0
House	10	17	5	10.528182983398438	4.132634162902832	6.505134582519531
would	10	18	5	8.76077938079834	4.003076076507568	0.12955808639526367
be	10	19	2	1.6191095113754272	6.17875862121582	0
rewarded	10	20	8	14.437170028686523	9.255572319030762	0
with	10	21	4	1.4127737283706665	3.161564588546753	6.094007730484009
land	10	22	4	14.773772239685059	5.708827495574951	0
and	10	23	3	3.7400729656219482	5.664847373962402	0.04398012161254883
<unk>	10	24	5	4.4034504890441895	10.111103057861328	0
It	11	0	2	8.13441276550293	5.634664058685303	0
was	11	1	3	1.3306435346603394	3.7517857551574707	1.882878303527832
the	11	2	3	3.1502788066864014	8.167149543762207	0
people	11	3	6	15.578205108642578	6.387139320373535	1.7800102233886719
of	11	4	2	1.7964099645614624	5.111471176147461	1.2756681442260742
Bradford	11	5	8	15.010491371154785	7.3904900550842285	0
and	11	6	3	3.4018471240997314	4.503291606903076	2.8871984481811523
the	11	7	3	1.4738398790359497	6.713886260986328	0
people	11	8	6	11.05475902557373	9.415406227111816	0
who	11	9	3	2.764597177505493	5.56850004196167	3.8469061851501465
knew	11	10	4	7.961971282958984	6.892267227172852	0
them	11	11	4	4.7124552726745605	6.28896951675415	0.6032977104187012
who	11	12	3	8.364456176757812	6.50205659866333	0
<unk>	11	13	5	5.655937194824219	7.1437859535217285	0
at	11	14	2	6.331427574157715	6.719974994659424	0.4238109588623047
this	11	15	4	5.382850646972656	5.325560092926025	1.3944149017333984
proclamation	11	16	12	18.868349075317383	4.166535377502441	1.159024715423584
but	11	17	3	8.968179702758789	4.162953853607178	0.003581523895263672
one	11	18	3	9.549575805664062	7.607022285461426	0
question	11	19	8	13.308398246765137	6.158731937408447	1.4482903480529785
<unk>	11	20	5	6.77577018737793	6.2069411277771	0
who	11	21	3	11.644067764282227	6.9537787437438965	0
would	11	22	5	4.391729831695557	7.154296398162842	0
kill	11	23	4	10.077725410461426	6.931178569793701	0.22311782836914062
the	11	24	3	1.6708195209503174	5.318759918212891	1.6124186515808105
<unk>	11	25	5	3.5302369594573975	10.843405723571777	0
By	12	0	2	9.54964828491211	5.634664058685303	0
the	12	1	3	1.536647081375122	6.474293231964111	0
handsome	12	2	8	20.866056442260742	4.568482875823975	1.9058103561401367
reward	12	3	6	18.297487258911133	7.059739112854004	0
many	12	4	4	15.958230018615723	3.5978755950927734	3.4618635177612305
felt	12	5	4	13.161687850952148	4.950873851776123	0
<unk>	12	6	5	7.4372053146362305	5.480902671813965	0
but	12	7	3	9.64051342010498	6.907768726348877	0
the	12	8	3	3.3095157146453857	8.013566970825195	0
thought	12	9	7	13.162698745727539	10.799600601196289	0
of	12	10	2	0.9710854887962341	4.597805976867676	6.201794624328613
the	12	11	3	1.7085057497024536	6.664525985717773	0
<unk>	12	12	5	3.8804373741149902	11.043410301208496	0
with	12	13	4	9.311474800109863	7.843167781829834	3.200242519378662
its	12	14	3	7.445596218109131	6.1100263595581055	1.7331414222717285
deadly	12	15	6	14.684588432312012	10.151890754699707	0
<unk>	12	16	5	2.909170389175415	10.455400466918945	0
and	12	17	3	3.307603359222412	7.006322860717773	3.449077606201172
face	12	18	4	11.8965425491333	9.290902137756348	0
like	12	19	4	13.162294387817383	8.989958763122559	0.30094337463378906
thunder	12	20	7	15.499833106994629	6.654500484466553	2.335458278656006
soon	12	21	4	16.145368576049805	7.90864896774292	0
put	12	22	3	8.443450927734375	7.238205432891846	0.6704435348510742
an	12	23	2	6.828305721282959	6.5272674560546875	0.7109379768371582
end	12	24	3	6.558406829833984	9.85295295715332	0
to	12	25	2	2.176206588745117	4.280846118927002	5.572106838226318
their	12	26	5	5.887686252593994	5.769439220428467	0
<unk>	12	27	5	4.7559733390808105	10.488306999206543	0
<unk>	13	0	5	2.6835286617279053	5.634664058685303	0
there	13	1	5	13.127259254455566	6.5133161544799805	0
was	13	2	3	2.7915573120117188	4.6352152824401855	1.878100872039795
one	13	3	3	6.006547927856445	4.611916542053223	0.02329874038696289
<unk>	13	4	5	7.367259502410889	4.1922783851623535	0.41963815689086914
who	13	5	3	10.059715270996094	7.158130645751953	0
was	13	6	3	2.143402338027954	6.5549702644348145	0.6031603813171387
still	13	7	5	7.343257427215576	9.011022567749023	0
wet	13	8	3	17.029565811157227	8.925936698913574	0.08508586883544922
behind	13	9	6	13.494361877441406	3.76906418800354	5.156872510910034
the	13	10	3	1.1168361902236938	5.669645309448242	0
<unk>	13	11	5	3.080479860305786	10.54051399230957	0
who	13	12	3	9.6434907913208	5.939527988433838	4.600986003875732
decided	13	13	7	9.484787940979004	6.888557434082031	0
the	13	14	3	6.228842735290527	1.8710654973983765	5.017491936683655
prize	13	15	5	13.991978645324707	10.618196487426758	0
was	13	16	3	6.25199031829834	7.97323751449585	2.644958972930908
worth	13	17	5	11.851729393005371	8.486550331115723	0
a	13	18	1	2.83052921295166	7.176271915435791	1.3102784156799316
<unk>	13	19	5	4.815417289733887	9.844611167907715	0
in	13	20	2	4.667261600494385	8.055459976196289	1.7891511917114258
spite	13	21	5	12.500099182128906	6.001044273376465	2.054415702819824
of	13	22	2	0.06377226859331131	0.427472323179245	5.57357195019722
the	13	23	3	1.0455189943313599	4.577345371246338	0
<unk>	13	24	5	3.473599672317505	11.07652473449707	0
<unk>	13	25	5	4.66526985168457	6.555629730224609	4.520895004272461
The	14	0	3	3.6612181663513184	5.634664058685303	0
<unk>	14	1	5	2.9621829986572266	10.153865814208984	0
discovered	14	2	10	14.053779602050781	7.528629779815674	2.6252360343933105
the	14	3	3	2.139909267425537	5.236090660095215	2.292539119720459
<unk>	14	4	5	3.0618209838867188	10.47219467163086	0
preferred	14	5	9	19.193443298339844	7.104513168334961	3.3676815032958984
to	14	6	2	4.296947956085205	6.658132076263428	0.4463810920715332
come	14	7	4	9.613109588623047	8.37873363494873	0
out	14	8	3	4.90291166305542	5.2301225662231445	3.148611068725586
in	14	9	2	4.068577766418457	4.240387439727783	0.9897351264953613
the	14	10	3	1.216212511062622	5.890773773193359	0
middle	14	11	6	6.12982702255249	9.653914451599121	0
of	14	12	2	0.5435965061187744	3.025552272796631	6.62836217880249
the	14	13	3	0.4597196578979492	2.923931360244751	0.10162091255187988
<unk>	14	14	5	6.063828945159912	7.820253849029541	0
So	15	0	2	12.13854694366455	5.634664058685303	0
he	15	1	2	6.51669979095459	5.143661975860596	0.49100208282470703
went	15	2	4	8.082979202270508	6.945631504058838	0
to	15	3	2	1.6703153848648071	4.068630218505859	2.8770012855529785
the	15	4	3	2.0822553634643555	7.9697489738464355	0
wood	15	5	4	17.03922462463379	10.020933151245117	0
by	15	6	2	7.715824127197266	8.01025676727295	2.010676383972168
the	15	7	3	2.4268922805786133	8.516641616821289	0
well	15	8	4	13.25192928314209	10.170832633972168	0
with	15	9	4	12.065524101257324	2.2939913272857666	7.876841306686401
his	15	10	3	5.206778526306152	7.023407459259033	0
good	15	11	4	11.249361038208008	9.302640914916992	0
<unk>	15	12	5	3.5067548751831055	8.877772331237793	0.4248685836791992
to	15	13	2	6.056501865386963	5.658231258392334	3.219541072845459
<unk>	15	14	5	4.000688552856445	8.655893325805664	0
his	15	15	3	5.278021812438965	6.454718589782715	2.201174736022949
<unk>	15	16	5	3.376927614212036	10.139164924621582	0
Around	16	0	6	13.129849433898926	5.634664058685303	0
<unk>	16	1	5	3.9664764404296875	5.507134437561035	0.12752962112426758
the	16	2	3	5.260049343109131	4.991133689880371	0.5160007476806641
<unk>	16	3	5	2.52272891998291	9.35468864440918	0
feared	16	4	6	18.605016708374023	7.0909504890441895	2.2637381553649902
by	16	5	2	7.656360626220703	3.2946419715881348	3.7963085174560547
the	16	6	3	1.355712652206421	6.73783540725708	0
<unk>	16	7	5	3.703707695007324	10.00908374786377	0
came	16	8	4	14.263334274291992	6.584137439727783	3.4249463081359863
<unk>	16	9	5	8.210254669189453	4.698686122894287	1.885451316833496
as	16	10	2	6.158846855163574	5.3658366203308105	0
slow	16	11	4	15.906896591186523	5.433884620666504	0
as	16	12	2	1.6158943176269531	5.298130512237549	0.13575410842895508
a	16	13	1	2.8758091926574707	6.991279125213623	0
<unk>	16	14	5	3.5401809215545654	10.238571166992188	0
from	16	15	4	7.805734157562256	6.668979644775391	3.569591522216797
among	16	16	5	16.600065231323242	6.661865711212158	0.007113933563232422
the	16	17	3	1.4322983026504517	6.154273509979248	0.5075922012329102
<unk>	16	18	5	3.292513608932495	9.837956428527832	0
just	16	19	4	15.918724060058594	7.013612747192383	2.824343681335449
as	16	20	2	4.66249942779541	7.5760698318481445	0
the	16	21	3	2.459669828414917	6.353885173797607	1.222184658050537
<unk>	16	22	5	3.4968695640563965	10.63661003112793	0
had	16	23	3	6.667215824127197	8.09460163116455	2.542008399963379
<unk>	16	24	5	6.472357273101807	6.8211846351623535	1.2734169960021973
The	17	0	3	3.6612181663513184	5.634664058685303	0
<unk>	17	1	5	2.9621829986572266	10.153865814208984	0
<unk>	17	2	5	3.0245397090911865	7.528629779815674	2.6252360343933105
from	17	3	4	7.970210552215576	7.190300941467285	0.33832883834838867
his	17	4	3	7.107328414916992	5.505043983459473	1.6852569580078125
hiding	17	5	6	17.9672794342041	9.441567420959473	0
place	17	6	5	6.048309326171875	9.311553001403809	0.13001441955566406
